SignalDate,NextDate,Market,Sector,Symbol,Contribution
2020-10-30,2020-11-30,US,Industrials,DE,0.019920970714434584
2020-10-30,2020-11-30,US,Information Technology,NOW,0.007429555913366316
2020-10-30,2020-11-30,US,Information Technology,QCOM,0.021770324879802072
2020-10-30,2020-11-30,US,Consumer Discretionary,GM,0.02363855930455818
2020-10-30,2020-11-30,KR,Unknown,080220,0.0056387133803054825
2020-10-30,2020-11-30,KR,Unknown,095610,0.013712357153232569
2020-11-30,2021-01-29,KR,Unknown,053610,0.036335755202430285
2020-11-30,2021-01-29,KR,Unknown,006400,0.06810130233506718
2020-11-30,2021-01-29,KR,Unknown,217500,0.06045885177946531
2020-11-30,2021-01-29,KR,Unknown,007810,0.0035022804853471275
2020-11-30,2021-01-29,KR,Unknown,095610,-0.001544706900898569
2020-11-30,2021-01-29,KR,Unknown,240810,0.03647994068103099
2021-01-29,2021-02-26,US,Consumer Discretionary,TSLA,-0.007944078124638206
2021-01-29,2021-02-26,KR,Unknown,099320,0.0026835840954555746
2021-01-29,2021-02-26,KR,Unknown,319400,0.00606882524866302
2021-01-29,2021-02-26,KR,Unknown,217500,0.001093575425511712
2021-01-29,2021-02-26,KR,Unknown,006400,-0.008156659504182323
2021-01-29,2021-02-26,US,,FCX,0.017894853274825834
2021-01-29,2021-02-26,KR,Unknown,053610,-0.019997354108851995
2021-01-29,2021-02-26,US,Consumer Discretionary,GM,0.0011250298740661455
2021-01-29,2021-02-26,US,Information Technology,AMAT,0.020872716079546178
2021-01-29,2021-02-26,KR,Unknown,080220,0.021019258646233153
2021-01-29,2021-02-26,US,,DVN,0.012677850401423942
2021-01-29,2021-02-26,US,Industrials,DE,0.025959583274372904
2021-02-26,2021-03-31,KR,Unknown,319400,-0.02729524037317487
2021-02-26,2021-03-31,KR,Unknown,099320,-0.00063867813475494
2021-02-26,2021-03-31,KR,Unknown,217500,0.03871675813720156
2021-02-26,2021-03-31,KR,Unknown,056080,-0.01718539592248073
2021-02-26,2021-03-31,KR,Unknown,080220,-0.011207290769288948
2021-02-26,2021-03-31,KR,Unknown,038500,0.03338701247193933
2021-03-31,2021-04-30,US,,FCX,0.025910277983534694
2021-03-31,2021-04-30,US,,DVN,0.012033682039854277
2021-03-31,2021-04-30,US,Information Technology,AMAT,-0.0010382024968366445
2021-03-31,2021-04-30,US,,OXY,-0.006841328673031861
2021-03-31,2021-04-30,US,Consumer Discretionary,GM,-0.0007358487786416294
2021-03-31,2021-04-30,US,,HAL,-0.015598123816610349
2021-04-30,2021-06-30,US,,FCX,-0.0012354133004309575
2021-04-30,2021-06-30,US,,DVN,0.02110219931130963
2021-04-30,2021-06-30,US,Consumer Discretionary,TSLA,-0.0023516534379913515
2021-04-30,2021-06-30,US,Information Technology,AMAT,0.004231677621272563
2021-04-30,2021-06-30,US,Financials,COF,0.004840671490090505
2021-04-30,2021-06-30,US,,APA,0.005461721661479333
2021-04-30,2021-06-30,KR,Unknown,080220,-0.00492613867881481
2021-04-30,2021-06-30,KR,Unknown,000490,0.007858434067669574
2021-04-30,2021-06-30,KR,Unknown,083450,0.004440389098203882
2021-04-30,2021-06-30,KR,Unknown,038500,0.011415989499561444
2021-04-30,2021-06-30,KR,Unknown,095610,-0.009567376117549795
2021-04-30,2021-06-30,KR,Unknown,024060,0.014804534099228923
2021-06-30,2021-07-30,US,,DVN,-0.008971820793127638
2021-06-30,2021-07-30,US,Information Technology,NVDA,-0.0024404014596315104
2021-06-30,2021-07-30,US,Consumer Discretionary,F,-0.005245950190981598
2021-06-30,2021-07-30,KR,Unknown,217500,-0.00857273426560234
2021-06-30,2021-07-30,KR,Unknown,099320,-0.0031373827297518204
2021-06-30,2021-07-30,KR,Unknown,036170,-0.009685687468495414
2021-06-30,2021-07-30,US,Information Technology,AMAT,-0.0017818736364477023
2021-06-30,2021-07-30,US,,OXY,-0.009533534783247
2021-06-30,2021-07-30,US,Consumer Discretionary,TSLA,0.0007318310254639094
2021-06-30,2021-07-30,KR,Unknown,058610,0.00460920438233905
2021-06-30,2021-07-30,KR,Unknown,038500,-0.00721797172095482
2021-06-30,2021-07-30,KR,Unknown,083450,0.008779689313494024
2021-07-30,2021-08-31,US,,FCX,-0.004968021809397048
2021-07-30,2021-08-31,US,Financials,COF,0.004995085214639637
2021-07-30,2021-08-31,US,Consumer Discretionary,TGT,-0.010251493137658798
2021-07-30,2021-08-31,US,Information Technology,NVDA,0.02299371297710332
2021-07-30,2021-08-31,US,Financials,MS,0.016067608008396565
2021-07-30,2021-08-31,US,Information Technology,INTU,0.013801859796794689
2021-08-31,2021-09-30,KR,Unknown,083450,-0.021863370275262427
2021-08-31,2021-09-30,KR,Unknown,006400,-0.024575097089677343
2021-08-31,2021-09-30,KR,Unknown,042940,-0.008679591870872399
2021-08-31,2021-09-30,KR,Unknown,007810,-0.034797600366722685
2021-08-31,2021-09-30,KR,ETF,360750,-0.0027465229937294468
2021-09-30,2021-10-29,US,,DVN,0.008715567098535153
2021-09-30,2021-10-29,US,,OXY,0.009383238379376711
2021-09-30,2021-10-29,KR,Unknown,099320,-0.03109484598177838
2021-09-30,2021-10-29,US,Energy,COP,0.010908524959419751
2021-09-30,2021-10-29,US,Financials,AIG,0.010410705063619253
2021-09-30,2021-10-29,KR,Unknown,049630,-0.0023181699370917255
2021-09-30,2021-10-29,US,Consumer Discretionary,F,0.025393130942325835
2021-09-30,2021-10-29,US,Consumer Discretionary,TSLA,0.061040910757742456
2021-09-30,2021-10-29,KR,ETF,360750,0.003826249037728539
2021-10-29,2021-11-30,US,,DVN,0.004344288455762492
2021-10-29,2021-11-30,US,Consumer Discretionary,TSLA,0.004185684546123731
2021-10-29,2021-11-30,US,,OXY,-0.008244772464549917
2021-10-29,2021-11-30,US,,APA,-0.001312443175645932
2021-10-29,2021-11-30,US,Energy,COP,-0.006954216242568031
2021-10-29,2021-11-30,US,Information Technology,NVDA,0.03086413286072505
2021-10-29,2021-11-30,KR,Unknown,083450,0.012975642565159914
2021-10-29,2021-11-30,KR,Unknown,007810,0.057345792295841774
2021-10-29,2021-11-30,KR,ETF,360750,0.0038388226602942763
2021-11-30,2022-02-28,US,Information Technology,NVDA,-0.02541858861653728
2021-11-30,2022-02-28,US,,DVN,0.04449055272750885
2021-11-30,2022-02-28,KR,Unknown,007810,0.030593258100095038
2021-11-30,2022-02-28,US,Consumer Discretionary,TSLA,-0.02912601191018838
2021-11-30,2022-02-28,US,Information Technology,AMD,-0.023842162742771913
2021-11-30,2022-02-28,US,Consumer Discretionary,F,-0.01018592432204791
2021-11-30,2022-02-28,US,Information Technology,INTU,-0.03508621629865941
2021-11-30,2022-02-28,KR,Unknown,083450,0.0001321780278872314
2021-11-30,2022-02-28,KR,ETF,360750,-0.008453586889912339
2022-02-28,2022-03-31,US,,DVN,0.001394741751711169
2022-02-28,2022-03-31,US,,APA,0.023167855810634068
2022-02-28,2022-03-31,US,,OXY,0.04845831180912426
2022-02-28,2022-03-31,US,Energy,COP,0.010531962362678525
2022-02-28,2022-03-31,US,,HAL,0.023557065058881475
2022-02-28,2022-03-31,US,Energy,CVX,0.02468444921548347
2022-03-31,2022-04-29,KR,Unknown,007810,-0.011279654040003398
2022-03-31,2022-04-29,KR,Unknown,056080,-0.006365261174791046
2022-03-31,2022-04-29,KR,Unknown,000490,0.009501876982135078
2022-03-31,2022-04-29,KR,Unknown,058610,0.028393217793784623
2022-03-31,2022-04-29,KR,Unknown,217500,-0.022827501805798435
2022-03-31,2022-04-29,KR,Unknown,053610,-0.006027063183049084
2022-04-29,2022-05-31,US,,OXY,0.029223961599361158
2022-04-29,2022-05-31,US,,APA,0.021956723201842204
2022-04-29,2022-05-31,US,Energy,XOM,0.022957655848891166
2022-04-29,2022-05-31,US,Energy,XLE,0.03053860356544996
2022-04-29,2022-05-31,US,Health Care,LLY,0.014612618563224013
2022-04-29,2022-05-31,US,Utilities,EXC,0.01110294187330517
2022-05-31,2022-06-30,US,,OXY,-0.012074789420364091
2022-05-31,2022-06-30,US,,DVN,-0.02620607732381545
2022-05-31,2022-06-30,US,,APA,-0.023481869928021554
2022-05-31,2022-06-30,KR,Unknown,058610,-0.03920224097283342
2022-05-31,2022-06-30,US,,HAL,-0.022714281093133566
2022-05-31,2022-06-30,US,Energy,COP,-0.019970673095612703
2022-05-31,2022-06-30,US,Energy,XLE,-0.023585702193308772
2022-05-31,2022-06-30,KR,Unknown,053610,-0.03637751668499935
2022-05-31,2022-06-30,KR,Unknown,319400,-0.026200372486653713
2022-06-30,2022-07-29,US,Health Care,LLY,0.0020680705014283238
2022-06-30,2022-07-29,US,Health Care,BMY,-0.00667549721296993
2022-06-30,2022-07-29,US,Health Care,MRK,-0.0032041763914802627
2022-06-30,2022-07-29,US,Health Care,ABBV,-0.008658660108382225
2022-06-30,2022-07-29,US,Communication Services,T,-0.0146978959065329
2022-06-30,2022-07-29,KR,Unknown,003230,0.0013517487094171323
2022-06-30,2022-07-29,US,Health Care,UNH,0.008227761130893027
2022-07-29,2022-08-31,KR,Unknown,214370,-0.008713190581106518
2022-07-29,2022-08-31,US,,OXY,0.007081396365073708
2022-07-29,2022-08-31,US,,DVN,0.011724175204550082
2022-07-29,2022-08-31,US,Energy,XOM,-0.000566790625389909
2022-07-29,2022-08-31,US,Energy,CVX,-0.0034942702056717104
2022-07-29,2022-08-31,US,Health Care,LLY,-0.011133787228659842
2022-07-29,2022-08-31,US,Energy,XLE,0.0028440385904990604
2022-07-29,2022-08-31,KR,Unknown,003230,0.011024742293351663
2022-07-29,2022-08-31,KR,Unknown,000490,-0.005443577887677674
2022-08-31,2022-09-30,KR,Unknown,214370,-0.009630161656395844
2022-08-31,2022-09-30,US,,OXY,-0.01296764950794075
2022-08-31,2022-09-30,US,,DVN,-0.012475606620888086
2022-08-31,2022-09-30,US,Energy,COP,-0.005555518683891635
2022-08-31,2022-09-30,KR,Unknown,003230,-0.006139623043440144
2022-08-31,2022-09-30,US,Energy,XOM,-0.010057581511492301
2022-08-31,2022-09-30,KR,Unknown,058610,0.0074582446792863894
2022-08-31,2022-09-30,US,Energy,XLE,-0.01131003047761845
2022-08-31,2022-09-30,US,Energy,CVX,-0.011331629857446988
2022-09-30,2022-10-31,KR,Unknown,058610,-0.006929841713583579
2022-09-30,2022-10-31,US,Energy,COP,0.04452398576754909
2022-09-30,2022-10-31,US,Health Care,LLY,0.032347653097362386
2022-09-30,2022-10-31,US,,TWX,
2022-10-31,2022-11-30,US,,DVN,-0.008597458165178954
2022-10-31,2022-11-30,US,,SLB,-0.0007691009336841471
2022-10-31,2022-11-30,US,Energy,COP,-0.0016025019899623147
2022-10-31,2022-11-30,US,,OXY,-0.0037414924897816526
2022-10-31,2022-11-30,US,Energy,XOM,0.0013724480085066599
2022-10-31,2022-11-30,US,,APA,0.0018175032491374976
2022-10-31,2022-11-30,KR,Unknown,006400,-0.0011303672948695723
2022-10-31,2022-11-30,KR,Unknown,003230,0.0004920105750211643
2022-10-31,2022-11-30,KR,ETF,379800,-0.007691281931600061
2022-10-31,2022-11-30,KR,ETF,360750,-0.007922624387091948
2022-11-30,2023-01-31,US,Health Care,BIIB,-0.00675501794176906
2022-11-30,2023-01-31,US,Health Care,GILD,-0.005253086164940032
2022-11-30,2023-01-31,US,,SLB,0.010760703454176077
2022-11-30,2023-01-31,US,,NOV,0.007258921751646125
2022-11-30,2023-01-31,US,Energy,XOM,0.006059103443941582
2022-11-30,2023-01-31,US,Health Care,MRK,-0.002621500700544233
2022-11-30,2023-01-31,KR,Unknown,003230,0.013454029519196494
2022-11-30,2023-01-31,KR,Unknown,006400,-0.006762679555042875
2023-01-31,2023-02-28,KR,Unknown,214370,0.01043030744954538
2023-01-31,2023-02-28,US,,FCX,-0.0058947594662735955
2023-01-31,2023-02-28,KR,Unknown,058610,-0.0005380786454907379
2023-01-31,2023-02-28,US,,SLB,-0.005114491430724286
2023-01-31,2023-02-28,US,,NOV,-0.006464476954974153
2023-01-31,2023-02-28,US,Industrials,GE,0.006110699864699332
2023-01-31,2023-02-28,US,Industrials,BA,-0.005678813168059508
2023-01-31,2023-02-28,US,,HAL,-0.007534609476600581
2023-01-31,2023-02-28,KR,Unknown,003230,-0.0022786524424451946
2023-01-31,2023-02-28,KR,Unknown,145020,-0.006965252666154367
2023-01-31,2023-02-28,KR,Unknown,319400,-0.0007267409060089763
2023-01-31,2023-02-28,KR,Unknown,006400,0.0015245399708782776
2023-02-28,2023-03-31,KR,Unknown,214370,0.01933737797439132
2023-02-28,2023-03-31,KR,Unknown,058610,0.1824719677206769
2023-02-28,2023-03-31,KR,Unknown,006400,0.01568810228133918
2023-02-28,2023-03-31,KR,Unknown,008350,-0.002119703773908482
2023-03-31,2023-04-28,US,Information Technology,NVDA,-0.00012284566914067202
2023-03-31,2023-04-28,US,Industrials,GE,0.0069524681934767405
2023-03-31,2023-04-28,US,Communication Services,META,0.020402542877177902
2023-03-31,2023-04-28,US,Information Technology,AMD,-0.011822006004032848
2023-03-31,2023-04-28,US,Consumer Discretionary,BKNG,0.0025207304172447957
2023-03-31,2023-04-28,US,Industrials,FDX,-0.0006128677210362964
2023-04-28,2023-05-31,KR,Unknown,214370,-0.008242321146643142
2023-04-28,2023-05-31,US,Information Technology,NVDA,0.020832822333693275
2023-04-28,2023-05-31,US,Communication Services,META,0.008937237984172567
2023-04-28,2023-05-31,US,Industrials,GE,0.0027749151768585918
2023-04-28,2023-05-31,KR,Unknown,319400,0.004470127964015242
2023-04-28,2023-05-31,US,Consumer Discretionary,SBUX,-0.018137766815594213
2023-04-28,2023-05-31,US,Industrials,FDX,-0.005304800556500284
2023-04-28,2023-05-31,US,Health Care,ISRG,0.0018591765668982145
2023-04-28,2023-05-31,KR,Unknown,174900,0.004964167223567021
2023-04-28,2023-05-31,KR,Unknown,095610,0.0013343674925997224
2023-04-28,2023-05-31,KR,Unknown,083450,0.0030670098078787295
2023-04-28,2023-05-31,KR,ETF,379800,0.0008794691380357132
2023-05-31,2023-06-30,US,Information Technology,PLTR,0.0024913077301305002
2023-05-31,2023-06-30,US,Information Technology,NVDA,0.009361518770471271
2023-05-31,2023-06-30,US,Communication Services,META,0.010477404239694024
2023-05-31,2023-06-30,KR,Unknown,058610,-0.005808045236337742
2023-05-31,2023-06-30,KR,Unknown,272110,-0.00032735862657775515
2023-05-31,2023-06-30,US,Communication Services,NFLX,0.010435990790304465
2023-05-31,2023-06-30,US,Information Technology,AMD,-0.0029133419554615366
2023-05-31,2023-06-30,US,Information Technology,AVGO,0.009883796257563313
2023-05-31,2023-06-30,KR,Unknown,319400,-0.002673204679777833
2023-05-31,2023-06-30,KR,Unknown,174900,-0.009742974109643096
2023-05-31,2023-06-30,KR,Unknown,402340,-0.005129762785250227
2023-05-31,2023-06-30,KR,Unknown,008350,-0.006445761517837284
2023-06-30,2023-07-31,KR,Unknown,290690,-0.016811146538981345
2023-06-30,2023-07-31,US,Information Technology,NVDA,0.0076319536577403885
2023-06-30,2023-07-31,KR,Unknown,053610,0.004456101607637779
2023-06-30,2023-07-31,US,Information Technology,PLTR,0.01607277532958677
2023-06-30,2023-07-31,KR,Unknown,214370,-0.014081772271351425
2023-06-30,2023-07-31,US,Communication Services,META,0.013612454332914166
2023-06-30,2023-07-31,US,Consumer Discretionary,TSLA,0.0014514138037914634
2023-06-30,2023-07-31,US,Communication Services,NFLX,-0.0003359952315453237
2023-06-30,2023-07-31,US,Industrials,UBER,0.014104453292748696
2023-06-30,2023-07-31,KR,Unknown,272110,0.0003188778756529118
2023-06-30,2023-07-31,KR,Unknown,083450,0.0006659382530369119
2023-06-30,2023-07-31,KR,Unknown,402340,0.0004187973816560049
2023-07-31,2023-08-31,US,Information Technology,PLTR,-0.013034121620293774
2023-07-31,2023-08-31,KR,Unknown,053610,-0.005676844851427469
2023-07-31,2023-08-31,US,Information Technology,NVDA,0.004176784408908806
2023-07-31,2023-08-31,US,Communication Services,META,-0.008652135463583711
2023-07-31,2023-08-31,US,Industrials,UBER,-0.004399115855413416
2023-07-31,2023-08-31,KR,Unknown,058610,0.0014730180976566746
2023-07-31,2023-08-31,US,Information Technology,AVGO,0.0032741461129162344
2023-07-31,2023-08-31,US,Information Technology,LRCX,-0.0022303628813351564
2023-07-31,2023-08-31,KR,Unknown,240810,-0.0173089940660316
2023-07-31,2023-08-31,KR,Unknown,083450,-0.01122820471250176
2023-07-31,2023-08-31,KR,Unknown,007810,-0.006142127816952744
2023-07-31,2023-08-31,KR,Unknown,348370,-0.004235595105936907
2023-08-31,2023-10-31,KR,Unknown,056080,-0.003028695096697876
2023-08-31,2023-10-31,US,Information Technology,NVDA,-0.009524003753639558
2023-08-31,2023-10-31,KR,Unknown,003230,-0.0030441106449997286
2023-08-31,2023-10-31,US,Health Care,LLY,-5.3212153642817034e-05
2023-08-31,2023-10-31,US,Information Technology,ADBE,-0.002901678517995454
2023-08-31,2023-10-31,US,Information Technology,AVGO,-0.006296336039863436
2023-08-31,2023-10-31,KR,Unknown,058610,-0.008956611944023066
2023-08-31,2023-10-31,US,Communication Services,NFLX,-0.0037626599307667846
2023-08-31,2023-10-31,US,Industrials,GE,-0.005552010158443874
2023-08-31,2023-10-31,KR,ETF,379800,-0.008485956221228193
2023-08-31,2023-10-31,KR,ETF,360750,-0.008798130187969638
2023-08-31,2023-10-31,KR,Unknown,402340,-0.005159992580939155
2023-10-31,2023-11-30,KR,Unknown,024060,-0.019571105001010086
2023-10-31,2023-11-30,KR,Unknown,145020,0.008382803894660323
2023-10-31,2023-11-30,US,Information Technology,NOW,0.026047282098723628
2023-10-31,2023-11-30,US,Communication Services,NFLX,0.020459770282524724
2023-10-31,2023-11-30,US,Consumer Discretionary,AMZN,0.010834700121444543
2023-10-31,2023-11-30,US,Information Technology,INTC,0.03336082159525094
2023-10-31,2023-11-30,US,Information Technology,MSFT,0.0179354232358963
2023-10-31,2023-11-30,US,Financials,AIG,0.01070734452463429
2023-11-30,2024-01-31,KR,Unknown,056080,-0.022286098384746978
2023-11-30,2024-01-31,KR,Unknown,053610,-0.03532893151079055
2023-11-30,2024-01-31,KR,Unknown,003230,-0.026554838773858308
2023-11-30,2024-01-31,KR,Unknown,041920,-0.03570374612991553
2023-11-30,2024-01-31,KR,Unknown,058610,-0.01882244210039157
2023-11-30,2024-01-31,KR,Unknown,145020,-0.0005340968086149097
2024-01-31,2024-02-29,KR,Unknown,080220,0.0012846341150871121
2024-01-31,2024-02-29,KR,Unknown,348370,0.029398339633143773
2024-01-31,2024-02-29,US,Information Technology,NVDA,0.017522189152929517
2024-01-31,2024-02-29,US,Information Technology,AMD,0.009846706549761091
2024-01-31,2024-02-29,KR,Unknown,024060,-0.0017756003434399779
2024-01-31,2024-02-29,US,Industrials,UBER,0.02166235181236646
2024-01-31,2024-02-29,US,Communication Services,META,0.023670836946599657
2024-01-31,2024-02-29,US,Information Technology,AVGO,0.007220090630205317
2024-01-31,2024-02-29,US,Health Care,LLY,0.02120729238883373
2024-01-31,2024-02-29,KR,Unknown,402340,0.02988726037614903
2024-01-31,2024-02-29,KR,ETF,379800,0.004784343004200466
2024-01-31,2024-02-29,KR,ETF,360750,0.004746096076114563
2024-02-29,2024-04-30,KR,Unknown,080220,-0.013376014100573477
2024-02-29,2024-04-30,KR,Unknown,348370,0.001834982080131999
2024-02-29,2024-04-30,KR,Unknown,083450,0.05125416021277915
2024-02-29,2024-04-30,KR,Unknown,402340,0.017205157781810226
2024-02-29,2024-04-30,KR,Unknown,145020,0.029355078269753775
2024-02-29,2024-04-30,KR,ETF,379800,0.01219919931950471
2024-04-30,2024-05-31,KR,Unknown,348370,0.0006391219010632871
2024-04-30,2024-05-31,US,Information Technology,NVDA,0.01447869822087183
2024-04-30,2024-05-31,KR,Unknown,083450,-0.003232750270159064
2024-04-30,2024-05-31,KR,Unknown,003230,0.06132965423298606
2024-04-30,2024-05-31,US,Industrials,GE,0.0026708494923256046
2024-04-30,2024-05-31,KR,Unknown,402340,0.0007755296634073797
2024-04-30,2024-05-31,KR,Unknown,099320,-0.006141856041198625
2024-04-30,2024-05-31,KR,Unknown,145020,-0.007623869942437999
2024-04-30,2024-05-31,US,Information Technology,MU,0.008660537129469337
2024-04-30,2024-05-31,US,Health Care,LLY,0.006395226434092253
2024-04-30,2024-05-31,US,Financials,AXP,0.0033208339556425174
2024-04-30,2024-05-31,US,Financials,WFC,0.0020727048764750833
2024-05-31,2024-06-28,US,Information Technology,NVDA,0.012305660215840493
2024-05-31,2024-06-28,US,Industrials,GE,-0.007268824791110325
2024-05-31,2024-06-28,US,Information Technology,MU,0.00874532703816145
2024-05-31,2024-06-28,US,Information Technology,QCOM,-0.004643274021500604
2024-05-31,2024-06-28,US,,FCX,-0.011905422256071033
2024-05-31,2024-06-28,US,Health Care,LLY,0.02016794367944695
2024-06-28,2024-07-31,KR,Unknown,003230,-0.012557663221065343
2024-06-28,2024-07-31,KR,Unknown,024060,0.017342938072701878
2024-06-28,2024-07-31,KR,Unknown,402340,-0.02324308718302655
2024-06-28,2024-07-31,KR,Unknown,099320,-0.041413233645574025
2024-06-28,2024-07-31,KR,Unknown,145020,0.011458736977015202
2024-06-28,2024-07-31,KR,Unknown,001200,-0.03363585702661249
2024-07-31,2024-08-30,KR,Unknown,290690,-0.009414719224722189
2024-07-31,2024-08-30,KR,Unknown,003230,-0.009720872469026842
2024-07-31,2024-08-30,KR,Unknown,024060,-0.005450409162435901
2024-07-31,2024-08-30,KR,Unknown,145020,0.0069408578298660204
2024-07-31,2024-08-30,US,Industrials,MMM,0.007833388440966552
2024-07-31,2024-08-30,US,Industrials,GE,0.002278039609336843
2024-07-31,2024-08-30,US,Information Technology,AVGO,0.0007568338823040324
2024-07-31,2024-08-30,US,Information Technology,PLTR,0.01116816488517552
2024-07-31,2024-08-30,US,Financials,GS,0.0009184840532382361
2024-07-31,2024-08-30,US,Industrials,RTX,0.007854203134046611
2024-07-31,2024-08-30,KR,ETF,379800,-0.0007029568202498008
2024-07-31,2024-08-30,KR,Unknown,240810,-0.005762462982969868
2024-08-30,2024-09-30,KR,Unknown,145020,-0.014483302614647827
2024-08-30,2024-09-30,US,Industrials,MMM,0.0025168168478680157
2024-08-30,2024-09-30,US,Information Technology,PLTR,0.019346830102527676
2024-08-30,2024-09-30,US,Industrials,GE,0.01375272689299802
2024-08-30,2024-09-30,US,Information Technology,AVGO,0.0062505755676799946
2024-08-30,2024-09-30,US,Health Care,LLY,-0.013014140196818381
2024-08-30,2024-09-30,US,,ALL,0.0006337456806010002
2024-09-30,2024-10-31,US,Information Technology,PLTR,0.01016115856775357
2024-09-30,2024-10-31,KR,Unknown,024060,-0.004162452730808008
2024-09-30,2024-10-31,US,Information Technology,NVDA,0.005189254797920003
2024-09-30,2024-10-31,US,Industrials,MMM,-0.008463440360150941
2024-09-30,2024-10-31,US,Industrials,GE,-0.011102883237801715
2024-09-30,2024-10-31,US,Information Technology,AVGO,-0.0010476178273777625
2024-09-30,2024-10-31,US,Information Technology,ORCL,-0.001800603608104116
2024-09-30,2024-10-31,KR,Unknown,402340,0.0022683287449697317
2024-09-30,2024-10-31,KR,ETF,379800,0.00938281481426912
2024-09-30,2024-10-31,KR,ETF,360750,0.00887541902005507
2024-10-31,2024-11-29,US,Information Technology,PLTR,0.0503650904828961
2024-10-31,2024-11-29,US,Information Technology,NVDA,0.0022402283164467385
2024-10-31,2024-11-29,US,Consumer Discretionary,BKNG,0.015549155230276085
2024-10-31,2024-11-29,US,Information Technology,AVGO,-0.0036344242441873763
